key,question,answer
添加课程,添加课程,https://shimo.im/slides/KXPPwPC9HY9cwCCQ
请假申请,请假申请,https://shimo.im/docs/geYLs6SisJcCDSFI
设置容量,设置容量,https://shimo.im/docs/XtKx6hT9h6Hxjxyq
权重设置 下架老师,权重设置及下架老师说明,https://shimo.im/docs/XJpqQvQgHykqJGC8
作业管理后台 分配作业,作业管理后台分配,https://shimo.im/docs/W6YtgpqhQQ3WQ86W
学号,学号,https://shimo.im/docs/9YWpwRp3xKXC6h6Y
转班,转班,https://shimo.im/docs/yh8qkkvgyK9ywXPw
作业数量,作业数量,https://shimo.im/docs/XWXY3xgYpKk3wJv9
旧系统 作业 处理,旧系统作业处理,先要判断是否存在与新系统里面，打开【作业管理】-【作业分配】，查询该用户的改作业是否存在，如果已经存在，那么该作业没有新旧系统的问题。如果不存在在新系统里面，那么就需要点击【作业管理】-【作业异常处理】，输入作业id，然后选择对应的点评方式，进行处理。然后再次查询【作业分配】中，如果该作业存在，那么就表示处理成功，如果该作业不存在，就联系后端工作同学。
作业类型,老师无法分配该作业类型的作业怎么办？,点击【作业管理】-【权重设置】，找到对应的老师，然后查看是否设置了该点评类型的作业容量。如果没有设置，就进行对应的设置。如果设置了，还一直获取不到对应的作业，就请联系后端工作同学。
作业分配失败,作业分配出现了问题,其他（没有请假）老师的作业，或者其他点评类型【规则/人工】出现在自己的作业列表里面，点击【作业管理】-【作业分配】将对应的作业分配给对应的老师处理，并将问题记录下来，反馈给后端同学。
激活课程失败,激活课程失败怎么办？,点击【学员查询】-【用户查询】查看该用户的课程有没有激活，如果该用户没有对应的课程激活，记录下问题。并且反馈给后端同学。
重置点评 两份作业,重置点评是否会出现两份作业？,重置只会改变用户那边作业的状态。只有点击【作业异常处理】才会出现两次，重新分配，重新点评，这些按钮不要重复点击。
























